# DFT Ca²⁺/Ln³⁺ discriminator — auto-generated
# E_aquo_Ca − E_aquo_La = -646.064556 Ha (= -405411.65 kcal/mol)
# ΔΔE(Ca − La) = (E_holo_Ca − E_holo_La) − (E_aquo_Ca − E_aquo_La)
# Class: Ln-evolved ≥ +20; Ln-preferring +5 to +20; marginal 0 to +5; ambiguous -5 to 0; Ca-evolved < -5
stem	n_atoms	E_La	E_Ca	E_apo	E_water	ddE_kcal	class
NZ_JACIDR010000005_1_9_iptm0_932_s0	51	-1370.752026	-2016.764078	-1339.163681	-76.428549	+32.95	Ln-evolved
tannasepara_NZ_JYMT	39	-1213.604629	-1859.625416	-1182.014767	-76.428549	+27.46	Ln-evolved
A0A226QCS9_acidithiobacillus	45	-1292.222915	-1938.248562	-1260.704931	-76.428549	+24.42	Ln-evolved
xoxf	58	-2210.175744	-2856.201845	-2178.661042	-76.428549	+24.13	Ln-evolved
colinpqq_la_i0jwn7_pqq_la_model	58	-2210.321369	-2856.348542	-2178.800759	-76.428549	+23.46	Ln-evolved
03_Euk_a0a2v0prl1_domain3chaina-pqq-la_model	56	-2229.610690	-2875.637883	-2198.037004	-76.428549	+23.45	Ln-evolved
00_Lav_i0jwn7-pqq-la_model	58	-2210.306869	-2856.334332	-2178.786351	-76.428549	+23.28	Ln-evolved
colinpqq_la_a0acd6b9f2_pqq_la_model	58	-2210.315212	-2856.343075	-2178.785575	-76.428549	+23.02	Ln-evolved
colinpqq_la_c5atj3_pqq_la_model	58	-2210.071636	-2856.099881	-2178.533630	-76.428549	+22.79	Ln-evolved
00_Lav_a0acd6b9f2-pqq-la_model	58	-2210.259025	-2856.287551	-2178.732025	-76.428549	+22.61	Ln-evolved
SilE_like_LanM_associated_sample_0	44	-1233.313155	-1879.342014	-1201.741049	-76.428549	+22.40	Ln-evolved
03_Euk_a0a2v0nw76_domain1chaina-pqq-la_model	56	-2229.767621	-2875.796552	-2198.205099	-76.428549	+22.35	Ln-evolved
00_Lav_q89gy2-pqq-la_model	58	-2210.237050	-2856.267348	-2178.708364	-76.428549	+21.50	Ln-evolved
SilE_La_sample_0	44	-1233.438356	-1879.468917	-1201.872804	-76.428549	+21.33	Ln-evolved
colinpqq_la_q89gy2_pqq_la_model	58	-2210.252186	-2856.282995	-2178.724961	-76.428549	+21.18	Ln-evolved
00_Lav_c5atj3-pqq-la_model	58	-2210.284488	-2856.316268	-2178.756291	-76.428549	+20.57	Ln-evolved
FSRD01000002_1_1028_iptm0_980_s0	39	-1213.492302	-1859.524395	-1181.930482	-76.428549	+20.37	Ln-evolved
00_Lav_q92wy9-pqq-la_model	58	-2210.291490	-2856.325133	-2178.774446	-76.428549	+19.40	Ln-preferring
hyphomyst_NZ_WMBQ	44	-1233.406202	-1879.440262	-1201.840076	-76.428549	+19.14	Ln-preferring
NZ_QHJE01000001_1_740_iptm0_984_s0	34	-965.624925	-1611.659618	-934.116799	-76.428549	+18.74	Ln-preferring
03_Euk_a0a423vtm4_domain1chaina-pqq-la_model	55	-2170.861424	-2816.896179	-2139.318831	-76.428549	+18.70	Ln-preferring
colinpqq_la_q88jh0_pqq_la_model	58	-2209.969111	-2856.003904	-2178.434158	-76.428549	+18.68	Ln-preferring
colinpqq_la_q92wy9_pqq_la_model	58	-2210.232854	-2856.268306	-2178.719372	-76.428549	+18.26	Ln-preferring
colinpqq_la_c5b120_pqq_la_model	58	-2210.280250	-2856.316251	-2178.769140	-76.428549	+17.92	Ln-preferring
00_Lav_c5b120-pqq-la_model	58	-2210.156501	-2856.192506	-2178.650787	-76.428549	+17.92	Ln-preferring
A0A7V5CTA7_acidobacterium	31	-834.986701	-1481.022775	-803.527466	-76.428549	+17.87	Ln-preferring
NZ_JAERVJ010000008_1_86_iptm0_962_s0	32	-984.945490	-1630.982220	-953.448623	-76.428549	+17.46	Ln-preferring
A0A226Q2Q9_acidithiobacillus	41	-1102.701614	-1748.738403	-1071.202978	-76.428549	+17.42	Ln-preferring
03_Euk_a0a2j6qw99_domain1chaina-pqq-la_model	55	-2170.967537	-2817.004509	-2139.425509	-76.428549	+17.31	Ln-preferring
NZ_JACIDR010000005_1_24_iptm0_957_s0	35	-1061.428705	-1707.466842	-1029.927319	-76.428549	+16.58	Ln-preferring
colinpqq_la_mmol_2048_pqq_la_model	58	-2210.077432	-2856.116582	-2178.570392	-76.428549	+15.94	Ln-preferring
colinpqq_la_mmol_1770_pqq_la_model	58	-2210.080313	-2856.119625	-2178.572429	-76.428549	+15.84	Ln-preferring
duf2950_sample_0	32	-985.007947	-1631.047375	-953.542473	-76.428549	+15.77	Ln-preferring
03_Euk_a0a2t6zff7_domain1chaina-pqq-la_model	55	-2170.897322	-2816.936826	-2139.359783	-76.428549	+15.72	Ln-preferring
tannase	42	-1290.089795	-1936.129355	-1182.064864	-76.428549	+15.68	Ln-preferring
03_Euk_a0a383vah7_domain2chaina-pqq-la_model	58	-2210.285814	-2856.325517	-2178.741596	-76.428549	+15.59	Ln-preferring
00_Lav_q88jh0-pqq-la_model	58	-2210.134376	-2856.174240	-2178.611548	-76.428549	+15.49	Ln-preferring
NZ_PSRS01000033_1_43_iptm0_990_s0	34	-965.595151	-1611.635712	-934.105896	-76.428549	+15.06	Ln-preferring
NZ_JAEMSD010000177_1_3_iptm0_990_s0	34	-965.219171	-1611.259756	-933.734426	-76.428549	+15.04	Ln-preferring
NZ_RDQF01000023_1_48_iptm0_990_s0	34	-965.491754	-1611.532520	-933.995699	-76.428549	+14.93	Ln-preferring
NZ_JAGIKT010000066_1_76_iptm0_990_s0	34	-965.510206	-1611.551021	-934.012303	-76.428549	+14.90	Ln-preferring
00_Lav_mmol_1770-pqq-la_model	58	-2210.218543	-2856.259380	-2178.715089	-76.428549	+14.88	Ln-preferring
03_Euk_a0a7j7pmx4_domain1chaina-pqq-la_model	58	-2210.284141	-2856.325047	-2178.760099	-76.428549	+14.84	Ln-preferring
NZ_AXAY01000027_1_94_iptm0_990_s0	34	-965.612817	-1611.653847	-934.115691	-76.428549	+14.76	Ln-preferring
NZ_JAFCLG010000004_1_224_iptm0_990_s0	34	-965.555983	-1611.597145	-934.063321	-76.428549	+14.68	Ln-preferring
NZ_SPQS01000001_1_273_iptm0_990_s0	34	-965.538113	-1611.579344	-934.049984	-76.428549	+14.64	Ln-preferring
VAZP01000222_1_2_iptm0_989_s0	34	-965.590808	-1611.632119	-934.097883	-76.428549	+14.59	Ln-preferring
NZ_WQNE01000001_1_289_iptm0_991_s0	34	-965.491558	-1611.532876	-933.996723	-76.428549	+14.58	Ln-preferring
NZ_KI911783_1_6301_iptm0_990_s0	34	-965.633152	-1611.674506	-934.137895	-76.428549	+14.56	Ln-preferring
03_Euk_a0a8e2jbj9_domain1chaina-pqq-la_model	58	-2210.288910	-2856.330402	-2178.757163	-76.428549	+14.47	Ln-preferring
NZ_JADPJI010000005_1_26_iptm0_990_s0	34	-965.558348	-1611.599957	-934.070409	-76.428549	+14.40	Ln-preferring
NZ_JADPJG010000023_1_50_iptm0_991_s0	34	-965.599532	-1611.641143	-934.107066	-76.428549	+14.40	Ln-preferring
03_Euk_a0a4u0vdq8_domain1chaina-pqq-la_model	55	-2170.858461	-2816.900146	-2139.323954	-76.428549	+14.35	Ln-preferring
droideka_siteB	36	-1174.309875	-1820.351564	-1142.871487	-76.428549	+14.35	Ln-preferring
NZ_LSIC01000208_1_28_iptm0_990_s0	34	-965.481758	-1611.523516	-933.986120	-76.428549	+14.31	Ln-preferring
NZ_LWIG01000012_1_232_iptm0_990_s0	34	-965.625664	-1611.667556	-934.131664	-76.428549	+14.22	Ln-preferring
NZ_JADPJJ010000055_1_268_iptm0_990_s0	34	-965.618022	-1611.660118	-934.126732	-76.428549	+14.09	Ln-preferring
NZ_JAFCKS010000014_1_28_iptm0_991_s0	34	-965.556933	-1611.599074	-934.059206	-76.428549	+14.07	Ln-preferring
NZ_VSST01000002_1_29_iptm0_990_s0	34	-965.561839	-1611.604060	-934.066373	-76.428549	+14.02	Ln-preferring
NZ_RQIT01000014_1_113_iptm0_991_s0	34	-965.582466	-1611.624801	-934.087139	-76.428549	+13.94	Ln-preferring
NZ_AUFA01000004_1_185_iptm0_989_s0	34	-965.529521	-1611.571860	-934.035607	-76.428549	+13.94	Ln-preferring
03_Euk_a0a8j4w178_domain1chaina-pqq-la_model	58	-2210.293163	-2856.335591	-2178.757566	-76.428549	+13.89	Ln-preferring
NZ_MZXW01000050_1_239_iptm0_990_s0	34	-965.594366	-1611.636950	-934.106840	-76.428549	+13.79	Ln-preferring
NZ_FOVU01000008_1_38_iptm0_990_s0	34	-965.516115	-1611.558751	-934.021140	-76.428549	+13.75	Ln-preferring
NZ_SPQU01000007_1_125_iptm0_990_s0	34	-965.572275	-1611.614965	-934.076306	-76.428549	+13.72	Ln-preferring
NZ_JAFCJT010000030_1_30_iptm0_990_s0	34	-965.579617	-1611.622373	-934.091374	-76.428549	+13.68	Ln-preferring
NZ_JAFCLP010000016_1_10_iptm0_990_s0	34	-965.515976	-1611.558753	-934.020080	-76.428549	+13.67	Ln-preferring
NZ_VSSS01000011_1_53_iptm0_990_s0	34	-965.593610	-1611.636453	-934.101692	-76.428549	+13.62	Ln-preferring
NZ_PYFX01000022_1_40_iptm0_989_s0	34	-965.486499	-1611.529370	-933.994610	-76.428549	+13.61	Ln-preferring
NZ_JBGCBO010000001_1_1217_iptm0_990_s0	34	-965.601761	-1611.644656	-934.108474	-76.428549	+13.59	Ln-preferring
NZ_CP030051_1_2212_iptm0_990_s0	34	-965.510240	-1611.553149	-934.019117	-76.428549	+13.58	Ln-preferring
NZ_JACOFR010000032_1_50_iptm0_990_s0	34	-965.614944	-1611.657968	-934.122152	-76.428549	+13.51	Ln-preferring
NZ_JAFCKT010000017_1_45_iptm0_989_s0	34	-965.554779	-1611.597868	-934.068407	-76.428549	+13.47	Ln-preferring
NZ_JADPKT010000084_1_230_iptm0_990_s0	34	-965.578903	-1611.622095	-934.093614	-76.428549	+13.41	Ln-preferring
NZ_AUGD01000012_1_162_iptm0_991_s0	34	-965.434577	-1611.477825	-933.951537	-76.428549	+13.37	Ln-preferring
NZ_FMAI01000037_1_8_iptm0_990_s0	34	-965.627980	-1611.671247	-934.133924	-76.428549	+13.36	Ln-preferring
NZ_NAEX01000176_1_115_iptm0_990_s0	34	-965.520020	-1611.563378	-934.027087	-76.428549	+13.30	Ln-preferring
03_Euk_a0a420ycp2_domain1chaina-pqq-la_model	55	-2170.929566	-2816.972932	-2139.393771	-76.428549	+13.30	Ln-preferring
NZ_JAFCKB010000005_1_275_iptm0_990_s0	34	-965.386451	-1611.429834	-933.903682	-76.428549	+13.29	Ln-preferring
NZ_JABMCJ010000084_1_105_iptm0_951_rank0	32	-985.053467	-1631.096880	-953.530958	-76.428549	+13.27	Ln-preferring
VAZP01000222_1_12_iptm0_973_s0	35	-1002.132528	-1648.175982	-970.663101	-76.428549	+13.24	Ln-preferring
03_Euk_a0a5n6r0h0_domain1chaina-pqq-la_model	58	-2210.271959	-2856.315429	-2178.738635	-76.428549	+13.23	Ln-preferring
03_Euk_a0a6j5wv68_domain2chaina-pqq-la_model	58	-2210.306707	-2856.350234	-2178.772784	-76.428549	+13.20	Ln-preferring
NZ_AXAS01000040_1_44_iptm0_991_s0	34	-965.549425	-1611.592958	-934.067513	-76.428549	+13.19	Ln-preferring
jabmcj_105_efhand5	32	-985.060083	-1631.103693	-953.538655	-76.428549	+13.14	Ln-preferring
03_Euk_a0a1y1irx0_domain1chaina-pqq-la_model	55	-2170.986875	-2817.030493	-2139.450007	-76.428549	+13.14	Ln-preferring
NZ_JACIDN010000003_1_575_iptm0_990_s0	29	-945.711445	-1591.755065	-914.214799	-76.428549	+13.14	Ln-preferring
03_Euk_a0a815a8z3_domain1chaina-pqq-la_model	58	-2210.148681	-2856.192375	-2178.640371	-76.428549	+13.09	Ln-preferring
RXJC01000147_1_21_iptm0_990_s0	34	-965.591961	-1611.635658	-934.104171	-76.428549	+13.09	Ln-preferring
03_Euk_a0a1r3gaw4_domain2chaina-pqq-la_model	58	-2210.292438	-2856.336179	-2178.748807	-76.428549	+13.06	Ln-preferring
NC_004463_1_6354_iptm0_990_s0	34	-965.614132	-1611.657921	-934.125550	-76.428549	+13.03	Ln-preferring
